Year,m,d,Time,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s),area
2017,1,1,0,0.0,998.1,87.0,0.0,0.0,3.3,1.4,39560.0,277.0,8.3,6.2,1
2017,1,1,1,0.0,998.3,89.0,0.0,0.0,2.3,0.6,48280.0,265.0,5.0,3.5,1
2017,1,1,2,0.0,998.1,94.0,0.0,0.0,0.7,-0.2,27940.0,256.0,4.3,3.4,1
2017,1,1,3,7.0,997.8,91.0,0.0,0.0,0.5,-0.8,38250.0,255.0,3.8,2.7,1
2017,1,1,4,6.0,997.7,96.0,0.0,0.0,-0.2,-0.8,24660.0,260.0,3.2,2.7,1
2017,1,1,5,2.0,997.6,92.0,0.0,0.0,0.1,-1.0,45070.0,283.0,3.6,2.8,1
2017,1,1,6,7.0,997.7,91.0,0.0,0.0,-0.2,-1.5,25640.0,267.0,3.6,2.8,1
2017,1,1,7,2.0,997.2,95.0,0.0,0.0,-1.0,-1.6,32140.0,238.0,3.7,3.4,1
2017,1,1,8,7.0,997.3,95.0,0.0,0.0,-1.0,-1.7,12820.0,255.0,3.0,2.5,1
2017,1,1,9,8.0,997.4,97.0,0.0,0.0,-0.8,-1.2,22420.0,239.0,3.4,2.8,1
2017,1,1,10,7.0,997.3,97.0,0.0,0.0,-0.3,-0.8,20700.0,287.0,3.9,3.0,1
2017,1,1,11,7.0,997.3,94.0,0.0,0.0,0.0,-0.9,17160.0,300.0,3.6,2.6,1
2017,1,1,12,0.0,997.3,95.0,0.0,0.0,-1.1,-1.8,31050.0,290.0,2.5,2.2,1
2017,1,1,13,4.0,997.3,96.0,0.0,0.0,-1.2,-1.9,19810.0,282.0,3.3,2.8,1
2017,1,1,14,7.0,997.7,97.0,0.0,0.0,-1.2,-1.5,16210.0,317.0,3.5,2.7,1
2017,1,1,15,6.0,997.6,96.0,0.0,0.0,-1.1,-1.7,12280.0,314.0,3.8,2.9,1
2017,1,1,16,7.0,998.1,96.0,0.0,0.0,-0.7,-1.3,23370.0,332.0,5.3,4.1,1
2017,1,1,17,8.0,998.5,93.0,0.0,0.0,-0.5,-1.4,32460.0,340.0,4.5,2.6,1
2017,1,1,18,8.0,999.1,92.0,0.0,0.0,-0.8,-1.9,50000.0,1.0,5.6,3.4,1
2017,1,1,19,8.0,999.8,84.0,0.0,0.0,-1.5,-3.8,50000.0,356.0,7.6,5.5,1
2017,1,1,20,7.0,1000.3,83.0,0.0,0.0,-1.9,-4.4,50000.0,11.0,5.7,3.9,1
2017,1,1,21,0.0,1000.7,87.0,0.0,0.0,-2.8,-4.6,50000.0,342.0,5.3,4.1,1
2017,1,1,22,0.0,1001.2,91.0,0.0,0.0,-3.8,-5.0,50000.0,345.0,5.2,3.7,1
2017,1,1,23,0.0,1001.5,92.0,0.0,0.0,-4.5,-5.6,50000.0,350.0,6.0,4.3,1
2017,1,2,0,7.0,1001.5,93.0,0.0,0.0,-4.7,-5.6,50000.0,343.0,5.2,3.9,1
2017,1,2,1,7.0,1001.8,93.0,0.0,0.0,-4.6,-5.6,50000.0,339.0,4.0,2.8,1
2017,1,2,2,8.0,1001.9,92.0,0.0,0.0,-4.2,-5.4,50000.0,356.0,5.2,2.7,1
2017,1,2,3,8.0,1001.9,91.0,0.0,0.0,-4.1,-5.4,50000.0,358.0,5.6,3.2,1
2017,1,2,4,8.0,1001.9,90.0,0.0,0.0,-4.0,-5.4,50000.0,360.0,6.5,4.7,1
2017,1,2,5,8.0,1001.8,92.0,0.0,0.0,-4.4,-5.6,47220.0,322.0,4.6,3.2,1
2017,1,2,6,7.0,1001.7,92.0,0.0,0.0,-4.3,-5.4,23750.0,321.0,3.7,2.4,1
2017,1,2,7,8.0,1001.6,92.0,0.0,0.0,-4.1,-5.2,48840.0,308.0,4.4,3.4,1
2017,1,2,8,8.0,1001.7,91.0,0.0,0.0,-3.9,-5.1,30030.0,346.0,2.7,2.1,1
2017,1,2,9,8.0,1001.5,91.0,0.0,0.0,-3.6,-5.0,42850.0,332.0,2.7,1.8,1
2017,1,2,10,8.0,1001.6,90.0,0.0,0.0,-3.4,-4.9,50000.0,357.0,3.1,2.4,1
2017,1,2,11,8.0,1001.5,90.0,0.0,0.0,-3.3,-4.7,17510.0,359.0,2.6,2.0,1
2017,1,2,12,8.0,1001.6,92.0,0.0,0.0,-3.3,-4.4,7700.0,355.0,2.5,1.9,1
2017,1,2,13,8.0,1001.6,94.0,0.1,0.0,-3.3,-4.2,2710.0,26.0,2.1,1.4,1
2017,1,2,14,7.0,1001.6,95.0,0.4,2.0,-3.4,-4.0,1860.0,3.0,2.1,1.6,1
2017,1,2,15,8.0,1001.7,95.0,0.6,3.0,-3.6,-4.3,2380.0,44.0,5.2,3.5,1
2017,1,2,16,7.0,1001.9,96.0,0.5,3.0,-4.1,-4.7,2890.0,72.0,4.9,3.7,1
2017,1,2,17,8.0,1001.9,94.0,0.0,3.0,-4.5,-5.3,3110.0,65.0,5.9,4.7,1
2017,1,2,18,8.0,1002.4,94.0,0.0,4.0,-4.8,-5.6,4280.0,53.0,5.0,3.8,1
2017,1,2,19,8.0,1002.7,93.0,0.0,5.0,-5.5,-6.4,4680.0,53.0,5.9,4.5,1
2017,1,2,20,7.0,1002.9,94.0,0.3,5.0,-5.7,-6.5,2430.0,46.0,5.2,4.0,1
2017,1,2,21,7.0,1003.1,94.0,0.1,5.0,-5.9,-6.6,2680.0,49.0,5.4,3.7,1
2017,1,2,22,8.0,1003.1,94.0,0.4,5.0,-6.0,-6.8,4220.0,39.0,4.8,3.2,1
2017,1,2,23,7.0,1003.1,94.0,0.3,5.0,-6.1,-6.9,2310.0,45.0,5.6,3.5,1
2017,1,3,0,7.0,1003.2,94.0,0.0,6.0,-6.9,-7.7,16130.0,42.0,3.2,2.4,1
2017,1,3,1,7.0,1002.9,94.0,0.0,6.0,-7.0,-7.8,12900.0,17.0,3.9,2.7,1
2017,1,3,2,8.0,1002.7,94.0,0.0,5.0,-6.9,-7.7,3900.0,40.0,4.3,3.1,1
2017,1,3,3,8.0,1002.5,93.0,0.0,6.0,-6.8,-7.7,4020.0,33.0,4.2,3.0,1
2017,1,3,4,8.0,1002.4,94.0,0.5,6.0,-6.9,-7.7,2440.0,37.0,3.8,2.6,1
2017,1,3,5,8.0,1002.2,94.0,0.6,6.0,-6.9,-7.7,750.0,35.0,3.4,2.7,1
2017,1,3,6,8.0,1002.1,94.0,0.4,8.0,-6.9,-7.7,1830.0,36.0,3.7,2.5,1
2017,1,3,7,8.0,1002.1,94.0,0.2,8.0,-7.0,-7.8,5820.0,36.0,3.1,2.3,1
2017,1,3,8,8.0,1001.9,94.0,0.0,8.0,-7.0,-7.9,8230.0,34.0,3.1,2.3,1
2017,1,3,9,8.0,1001.5,93.0,0.0,8.0,-7.0,-7.9,16880.0,35.0,3.0,1.8,1
2017,1,3,10,8.0,1001.0,93.0,0.0,8.0,-6.7,-7.6,7710.0,34.0,2.6,2.0,1
2017,1,3,11,8.0,1000.9,93.0,0.0,8.0,-6.6,-7.5,3340.0,10.0,1.9,1.3,1
2017,1,3,12,8.0,1000.4,94.0,0.9,8.0,-6.7,-7.4,650.0,4.0,2.8,2.2,1
2017,1,3,13,8.0,999.8,94.0,0.4,11.0,-6.8,-7.6,1520.0,37.0,3.3,2.5,1
2017,1,3,14,5.0,999.4,94.0,0.0,11.0,-8.2,-9.0,9750.0,42.0,2.8,2.0,1
2017,1,3,15,8.0,999.2,95.0,0.0,11.0,-7.7,-8.3,26380.0,12.0,2.9,2.4,1
2017,1,3,16,7.0,998.5,94.0,0.0,11.0,-8.5,-9.3,12020.0,6.0,3.6,3.1,1
2017,1,3,17,7.0,998.2,95.0,0.0,11.0,-7.8,-8.6,33640.0,11.0,4.0,3.3,1
2017,1,3,18,0.0,997.5,94.0,0.0,10.0,-8.5,-9.3,15350.0,30.0,4.2,3.4,1
2017,1,3,19,6.0,996.8,96.0,0.0,10.0,-6.5,-7.0,2110.0,52.0,6.0,4.1,1
2017,1,3,20,8.0,996.4,96.0,0.0,11.0,-4.6,-5.1,13650.0,93.0,9.7,7.0,1
2017,1,3,21,8.0,996.7,96.0,1.0,11.0,-4.8,-5.2,730.0,114.0,10.3,6.5,1
2017,1,3,22,8.0,996.7,96.0,2.4,16.0,-5.3,-5.9,580.0,94.0,7.9,5.1,1
2017,1,3,23,8.0,996.3,95.0,0.1,19.0,-5.7,-6.4,2470.0,89.0,10.3,7.7,1
2017,1,4,0,8.0,996.3,93.0,0.0,18.0,-6.8,-7.7,2590.0,80.0,11.8,8.6,1
2017,1,4,1,7.0,996.6,91.0,0.0,19.0,-7.3,-8.5,4620.0,85.0,11.5,8.8,1
2017,1,4,2,8.0,997.4,91.0,0.0,18.0,-8.5,-9.7,5760.0,58.0,9.2,7.2,1
2017,1,4,3,8.0,997.7,90.0,0.0,18.0,-9.5,-10.8,3040.0,63.0,12.8,9.3,1
2017,1,4,4,8.0,998.6,89.0,0.0,18.0,-10.4,-11.9,2960.0,55.0,11.8,8.6,1
2017,1,4,5,8.0,998.7,88.0,0.0,17.0,-11.3,-12.9,2280.0,56.0,13.1,10.0,1
2017,1,4,6,7.0,999.9,86.0,0.0,19.0,-12.3,-14.2,11660.0,59.0,10.7,8.2,1
2017,1,4,7,8.0,1000.6,87.0,0.0,17.0,-11.5,-13.3,3490.0,56.0,13.3,9.5,1
