Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2019,1,1,00:00,UTC,8,1000.9,97,1.1,7,0.8,0.5,3180,190,13.8,7.9
2019,1,1,01:00,UTC,8,998.7,97,2.4,7,1.5,1.1,2360,193,13.1,8.5
2019,1,1,02:00,UTC,8,996.6,98,0.8,7,2,1.6,2800,195,15.9,9.8
2019,1,1,03:00,UTC,8,994.2,98,0,6,2.4,2.1,4780,196,13.9,8.9
2019,1,1,04:00,UTC,8,992,98,0.5,6,2.5,2.3,3410,192,12.9,7.6
2019,1,1,05:00,UTC,8,990,98,0.2,5,2.7,2.4,3200,188,13.9,8.4
2019,1,1,06:00,UTC,8,988.1,99,0.3,5,2.8,2.6,2980,174,14,7.8
2019,1,1,07:00,UTC,8,986.4,98,0.7,5,2.7,2.5,2590,167,12.7,7.4
2019,1,1,08:00,UTC,8,984.7,98,0,5,2.8,2.5,3230,166,11.7,7.8
2019,1,1,09:00,UTC,8,983.3,99,0.5,4,3.1,2.9,3440,175,10.6,6.8
2019,1,1,10:00,UTC,8,981.7,99,0,4,3.5,3.3,8140,183,10.8,5.7
2019,1,1,11:00,UTC,8,980.8,98,0,4,4,3.8,14670,193,8.8,5.3
2019,1,1,12:00,UTC,7,980.7,99,0,4,3.5,3.3,15520,212,6.2,4.3
2019,1,1,13:00,UTC,8,980.6,98,0,4,3.1,2.8,22500,213,8.5,6.2
2019,1,1,14:00,UTC,8,980.6,98,0,4,2.7,2.3,3530,219,6.8,4.9
2019,1,1,15:00,UTC,7,980.5,98,0,4,2.5,2.2,36830,206,6.4,4.6
2019,1,1,16:00,UTC,8,980.6,98,0,4,2.3,1.9,26700,221,6.4,4.1
2019,1,1,17:00,UTC,5,980.7,98,0,4,1.8,1.4,50000,241,5.8,3.2
2019,1,1,18:00,UTC,8,981.1,96,0,4,1.7,1.1,50000,209,2.9,1.3
2019,1,1,19:00,UTC,8,981.4,96,0,4,1.6,0.9,50000,266,2.1,1.6
2019,1,1,20:00,UTC,8,982,96,0,4,1.5,0.9,21360,64,1.3,1
2019,1,1,21:00,UTC,8,982.7,97,0,4,1.1,0.7,13800,71,2.5,1.3
2019,1,1,22:00,UTC,7,983.5,98,0,4,1.3,1,7660,12,3,1.8
2019,1,1,23:00,UTC,7,984.6,97,0,4,1.3,0.9,15650,22,5.2,3.1
2019,1,2,00:00,UTC,8,986,96,0,4,1.4,0.8,6340,346,5.4,3.4
2019,1,2,01:00,UTC,8,987.4,97,0.3,4,1.3,0.9,4280,346,8.6,5.3
2019,1,2,02:00,UTC,8,988.9,95,0.3,4,0.8,0,4590,340,11.5,5.8
2019,1,2,03:00,UTC,8,990.8,94,0.3,4,0.4,-0.5,2160,344,14.6,8
2019,1,2,04:00,UTC,8,992.9,87,0,4,-1.2,-3.1,5440,341,18.7,9.9
2019,1,2,05:00,UTC,8,994.9,82,0,3,-1.8,-4.4,11500,346,16.4,9.3
2019,1,2,06:00,UTC,8,997,79,0,3,-1.7,-4.9,15670,354,18.7,10.6
2019,1,2,07:00,UTC,7,998.8,88,0.3,4,-2.4,-4.2,1320,346,17.1,10.1
2019,1,2,08:00,UTC,7,1000.7,84,0.4,4,-2.8,-5.2,2190,341,16.1,9.4
2019,1,2,09:00,UTC,8,1002.4,80,0,4,-3,-6,4150,339,16.4,9.7
2019,1,2,10:00,UTC,8,1003.5,79,0,4,-3.2,-6.3,5760,340,16.8,8.9
2019,1,2,11:00,UTC,7,1004.6,83,0.4,4,-3.7,-6.2,1790,334,17.8,9.2
2019,1,2,12:00,UTC,8,1005.8,82,0.5,4,-4,-6.6,2200,333,16.6,9.2
2019,1,2,13:00,UTC,7,1007.4,78,0,4,-4,-7.3,6840,333,15.6,8.6
2019,1,2,14:00,UTC,8,1008.8,70,0,4,-4.2,-8.9,50000,332,14.9,7.8
2019,1,2,15:00,UTC,7,1010.2,65,0,4,-5,-10.6,50000,331,16,9.2
2019,1,2,16:00,UTC,7,1011.4,61,0,4,-5.7,-12,50000,330,16.9,7.7
2019,1,2,17:00,UTC,7,1012.1,61,0,4,-6,-12.2,50000,333,13.5,7.5
2019,1,2,18:00,UTC,1,1012.9,64,0,4,-6.5,-12.2,50000,333,12.8,7.6
2019,1,2,19:00,UTC,0,1013.9,65,0,4,-6.8,-12.2,50000,328,14.2,6.9
2019,1,2,20:00,UTC,0,1014.8,68,0,4,-6.8,-11.8,50000,333,16.2,7.7
2019,1,2,21:00,UTC,0,1015.7,69,0,4,-6.9,-11.6,50000,331,11.4,6
2019,1,2,22:00,UTC,0,1016.6,66,0,4,-6.9,-12.3,50000,333,12.6,7
2019,1,2,23:00,UTC,0,1017.2,67,0,4,-7.1,-12.2,50000,335,12.7,7.7
2019,1,3,00:00,UTC,0,1018.1,66,0,4,-7.4,-12.6,50000,334,11.8,6.3
2019,1,3,01:00,UTC,0,1018.6,66,0,4,-7.5,-12.8,50000,330,12.6,7.1
2019,1,3,02:00,UTC,0,1019.7,69,0,4,-7.7,-12.4,50000,338,9.8,6.3
2019,1,3,03:00,UTC,0,1020.6,74,0,4,-8.2,-12,50000,331,9.7,6.1
2019,1,3,04:00,UTC,0,1021.6,76,0,4,-8.5,-11.9,50000,335,10.5,6.2
2019,1,3,05:00,UTC,0,1022.6,78,0,4,-8.9,-12.1,50000,332,8.7,5.2
2019,1,3,06:00,UTC,0,1023.3,78,0,4,-9.1,-12.2,50000,337,10.4,5.9
2019,1,3,07:00,UTC,0,1024.5,76,0,4,-8.9,-12.5,50000,335,9.9,5.3
2019,1,3,08:00,UTC,0,1025.4,76,0,4,-9.1,-12.6,50000,335,8.4,5.2
2019,1,3,09:00,UTC,0,1026.3,76,0,4,-9.1,-12.6,50000,332,9.2,5.2
2019,1,3,10:00,UTC,0,1026.5,75,0,4,-8.7,-12.2,50000,335,8.5,4.6
2019,1,3,11:00,UTC,0,1026.7,75,0,4,-8.4,-12.1,50000,337,8,3.8
2019,1,3,12:00,UTC,0,1026.7,72,0,4,-8.1,-12.2,50000,337,8,4
2019,1,3,13:00,UTC,0,1026.9,75,0,4,-8.9,-12.5,50000,326,8.3,4.2
2019,1,3,14:00,UTC,0,1027.6,79,0,4,-9.9,-12.9,50000,322,7,4.2
2019,1,3,15:00,UTC,0,1027.1,82,0,4,-10.7,-13.1,50000,330,5.3,3.6
2019,1,3,16:00,UTC,0,1027.3,85,0,4,-11.3,-13.3,50000,320,5.7,2.9
2019,1,3,17:00,UTC,0,1027.4,86,0,4,-11.6,-13.5,50000,318,5.1,3.5
2019,1,3,18:00,UTC,0,1026.6,89,0,4,-12.3,-13.8,49140,319,4.2,2.6
2019,1,3,19:00,UTC,0,1025.9,89,0,4,-12.9,-14.2,41940,314,3.5,1.9
2019,1,3,20:00,UTC,5,1024.9,90,0,4,-13.2,-14.5,38690,315,3.3,2
2019,1,3,21:00,UTC,3,1024,90,0,4,-12.4,-13.7,43250,280,1.8,1
