Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2018,1,1,00:00,UTC,8,1000.8,78,0,0,,-2.4,39920,113,7.5,5.2
2018,1,1,01:00,UTC,8,999.7,85,0,0,,-1.2,22820,112,9.2,6.6
2018,1,1,02:00,UTC,8,999.3,92,1.2,0,,-0.5,1620,118,8.1,5.4
2018,1,1,03:00,UTC,8,998.4,97,0.6,0,,0.1,2160,119,7.5,5.2
2018,1,1,04:00,UTC,8,997.6,98,0.9,0,,0.3,1550,120,8.1,5.3
2018,1,1,05:00,UTC,8,996.8,98,0.3,2,,0.4,3030,119,8,5.1
2018,1,1,06:00,UTC,7,996.4,95,0,2,,0.3,11670,128,6.6,4.1
2018,1,1,07:00,UTC,7,996.1,94,0,2,,0.4,10630,143,8.4,4.5
2018,1,1,08:00,UTC,8,995.8,96,0,3,,0.8,8690,144,5.7,3.2
2018,1,1,09:00,UTC,7,995.8,94,0,2,,0.8,17700,139,5.2,3.4
2018,1,1,10:00,UTC,8,995.1,96,0,2,,1.1,8090,125,6.2,4.1
2018,1,1,11:00,UTC,8,994.7,93,0,0,,1.1,28650,125,5.2,3.9
2018,1,1,12:00,UTC,7,994.2,92,0,0,,0.9,40040,121,6.1,4.3
2018,1,1,13:00,UTC,7,993.3,93,0,0,,1.1,41540,100,6.4,4.2
2018,1,1,14:00,UTC,8,993,93,0,0,,1.2,14320,107,5.4,3.8
2018,1,1,15:00,UTC,8,992.2,96,0,0,,1.4,5540,107,6.3,4.5
2018,1,1,16:00,UTC,7,991.3,98,0,0,,1.7,6130,114,7.9,5.7
2018,1,1,17:00,UTC,7,990.9,98,2.2,0,,1.3,7980,112,7,4.9
2018,1,1,18:00,UTC,8,990.2,98,1.1,0,,0.8,2630,108,4.9,3.3
2018,1,1,19:00,UTC,8,989.6,99,0,0,,2.1,5720,109,5.6,3.7
2018,1,1,20:00,UTC,8,989.9,99,0,0,,2.6,2490,162,5.9,3
2018,1,1,21:00,UTC,7,990.1,99,0.7,0,,3.4,2560,,,
2018,1,1,22:00,UTC,7,990.3,98,0,0,,4.5,9010,191,12.2,7.8
2018,1,1,23:00,UTC,7,990.5,92,0,0,,3.9,15270,187,11.8,7.3
2018,1,2,00:00,UTC,7,990.4,92,0,0,,3.6,17530,180,10.9,6.1
2018,1,2,01:00,UTC,8,990.6,92,0,0,,3.7,35210,171,12.1,6.8
2018,1,2,02:00,UTC,7,990.4,92,0,0,,3.6,37770,172,11,6.5
2018,1,2,03:00,UTC,8,990.1,92,0,0,,3.6,36480,165,12.1,6.8
2018,1,2,04:00,UTC,7,990,93,0.3,0,,3.2,23480,191,15.1,9.6
2018,1,2,05:00,UTC,8,990.4,94,0.5,0,,3.2,20610,206,11.6,6.9
2018,1,2,06:00,UTC,7,990.8,97,0,0,,3.6,22280,203,8.8,6.1
2018,1,2,07:00,UTC,8,991.7,96,0,0,,3.5,50000,221,8,4.4
2018,1,2,08:00,UTC,8,993.2,97,0,0,,3.8,7380,215,10.8,6.2
2018,1,2,09:00,UTC,8,995.1,92,0,0,,2.3,17430,236,10.9,7.1
2018,1,2,10:00,UTC,8,996.5,88,0,0,,1.8,43820,245,11.9,8.1
2018,1,2,11:00,UTC,8,997.8,89,0,0,,2,50000,238,9,5.6
2018,1,2,12:00,UTC,8,998.9,88,0,0,,2.1,50000,230,11.1,5.7
2018,1,2,13:00,UTC,8,999.7,91,0,0,,2.7,28150,225,7.2,4.5
2018,1,2,14:00,UTC,8,1000.1,96,0,0,,3.5,15140,209,6.1,4
2018,1,2,15:00,UTC,7,1000.6,91,0,0,,3.3,49630,205,10.5,6.5
2018,1,2,16:00,UTC,8,1001,90,0,0,,3.3,47230,194,12.9,7.1
2018,1,2,17:00,UTC,7,1001.4,91,0,0,,3.5,44120,192,12.1,7.4
2018,1,2,18:00,UTC,7,1001.5,92,0,0,,3.4,35790,193,12.4,8.2
2018,1,2,19:00,UTC,8,1001.8,91,0,0,,3.4,37340,195,11.3,7
2018,1,2,20:00,UTC,8,1002.1,90,0,0,,3.3,43820,188,11.4,6.1
2018,1,2,21:00,UTC,7,1002.4,89,0,0,,3.1,49850,191,14.2,8.3
2018,1,2,22:00,UTC,8,1002.6,91,0,0,,3.4,31660,189,10.2,5.8
2018,1,2,23:00,UTC,8,1002.6,91,0,0,,3.2,36640,182,10.7,5.6
2018,1,3,00:00,UTC,7,1002.7,91,0,0,,3.2,36350,183,13.8,7.8
2018,1,3,01:00,UTC,8,1002.8,92,0,0,,3.3,24570,175,13.8,8.2
2018,1,3,02:00,UTC,8,1002.6,92,0,0,,3.1,18540,,,
2018,1,3,03:00,UTC,7,1002.4,92,0,0,,3.1,17050,,,
2018,1,3,04:00,UTC,8,1002.1,92,0,0,,3.1,13630,175,11.5,7.9
2018,1,3,05:00,UTC,8,1001.9,92,0,0,,3.1,13400,173,12.9,7.1
2018,1,3,06:00,UTC,7,1001.8,93,0,0,,3.1,11080,169,11,6.5
2018,1,3,07:00,UTC,7,1002,92,0,0,,2.7,13740,168,13.9,7.9
2018,1,3,08:00,UTC,7,1002.1,91,0,0,,2.5,12280,172,11.8,7
2018,1,3,09:00,UTC,7,1002,92,0,0,,2.5,10420,168,11,6.4
2018,1,3,10:00,UTC,7,1001.8,91,0,0,,2.4,14790,159,8.3,4.4
2018,1,3,11:00,UTC,7,1001.3,93,0,0,,2.4,11380,149,7.6,4.3
2018,1,3,12:00,UTC,7,1001.2,92,0,0,,2.3,13110,148,6.5,2.9
2018,1,3,13:00,UTC,7,1000.9,91,0,0,,2.1,15440,127,4.9,3.1
2018,1,3,14:00,UTC,7,1000.7,92,0,0,,2.1,15470,109,5.4,3.5
2018,1,3,15:00,UTC,7,1000.6,95,0.3,0,,2.2,5610,105,5.8,3.8
2018,1,3,16:00,UTC,7,1000.4,96,0,0,,2.2,10010,114,5.2,3.7
2018,1,3,17:00,UTC,7,1000.3,96,0.3,0,,1.9,12730,98,5.3,3.1
2018,1,3,18:00,UTC,7,1000.3,95,0,0,,1.4,22520,84,6.8,4.5
2018,1,3,19:00,UTC,7,1000.3,94,0,0,,1.3,24880,98,6.5,4.4
2018,1,3,20:00,UTC,7,1000.1,93,0,0,,1.3,18590,104,6,3.8
2018,1,3,21:00,UTC,7,1000,93,0,0,,1,23230,104,4.6,3.3
2018,1,3,22:00,UTC,7,999.7,90,0,0,,1.1,50000,106,5.2,3.5
2018,1,3,23:00,UTC,7,999.4,89,0,0,,1.1,50000,89,4.9,3.4
2018,1,4,00:00,UTC,7,998.9,96,0,0,,2,8610,79,7.6,4.7
2018,1,4,01:00,UTC,7,998.8,95,0,0,,2,18260,77,8.5,5.8
2018,1,4,02:00,UTC,7,998.9,95,0.7,0,,1.7,7550,79,10.5,5.6
2018,1,4,03:00,UTC,7,999,95,0,0,,1.5,46590,79,9.4,5.2
2018,1,4,04:00,UTC,7,999,93,0,0,,1.2,50000,73,7.7,4.6
2018,1,4,05:00,UTC,7,998.8,93,0,0,,1.5,50000,76,9.5,6.3
2018,1,4,06:00,UTC,7,998.6,93,0,0,,1.6,43700,89,9,5.8
2018,1,4,07:00,UTC,7,998.7,92,0,0,,1.5,50000,79,7.7,4.8
2018,1,4,08:00,UTC,7,999.1,89,0,0,,1.1,50000,95,6.9,5.1
2018,1,4,09:00,UTC,7,999.1,89,0,0,,1.3,50000,100,5.5,3.7
2018,1,4,10:00,UTC,7,998.8,90,0,0,,1.6,50000,84,7.5,4.7
2018,1,4,11:00,UTC,8,998.4,89,0,0,,1.6,50000,89,8.9,6
2018,1,4,12:00,UTC,8,998,90,0,0,,1.8,38380,98,10.2,6.1
2018,1,4,13:00,UTC,8,997.8,91,0,0,,2,45830,101,8.4,5
2018,1,4,14:00,UTC,7,997.4,90,0,0,,1.8,48220,93,8.8,5.7
2018,1,4,15:00,UTC,8,997,91,0,0,,1.9,50000,91,10.9,6.9
2018,1,4,16:00,UTC,8,996.6,92,0.4,0,,2,10740,101,11.9,6.9
2018,1,4,17:00,UTC,8,996.3,96,0,0,,2.6,6030,96,10.2,6.3
2018,1,4,18:00,UTC,7,995.9,93,0,0,,2.4,50000,101,8.7,5.3
2018,1,4,19:00,UTC,7,995.4,92,0,0,,2.4,50000,95,9.6,5.7
2018,1,4,20:00,UTC,7,995.2,92,0,0,,2.4,36430,98,9.6,6
2018,1,4,21:00,UTC,8,994.8,92,0,0,,2.5,47460,95,9.5,5.8
2018,1,4,22:00,UTC,8,994.2,94,0.9,0,,2.8,12580,,,
2018,1,4,23:00,UTC,8,993.8,95,0.3,0,,2.9,17330,,,
2018,1,5,00:00,UTC,7,993.3,94,0,0,,2.9,16410,110,11.2,7.1
2018,1,5,01:00,UTC,8,993.1,96,0.9,0,,3.1,11850,113,9.6,7.1
2018,1,5,02:00,UTC,7,992.7,96,0.6,0,,3.1,12750,120,10.9,6.4
2018,1,5,03:00,UTC,8,992.6,95,1,0,,3.3,14390,127,10.1,6.8
2018,1,5,04:00,UTC,8,992.5,96,0.3,0,,3.3,15320,134,10.4,6.2
2018,1,5,05:00,UTC,8,992.8,94,0,0,,3.2,50000,150,10.9,6.1
2018,1,5,06:00,UTC,8,993.2,92,0,0,,3,50000,145,9.4,5.4
2018,1,5,07:00,UTC,8,993.5,92,0,0,,3.2,50000,148,10.6,6.9
2018,1,5,08:00,UTC,8,993.9,92,0,0,,3.2,43540,162,11.7,7.3
2018,1,5,09:00,UTC,8,994.3,92,0,0,,3.2,50000,,,
2018,1,5,10:00,UTC,8,994.2,89,0,0,,2.8,50000,160,7.7,5.1
2018,1,5,11:00,UTC,8,994.3,91,0,0,,2.9,17900,143,10,6.3
2018,1,5,12:00,UTC,8,994.1,93,0.3,0,,3,41370,135,9.2,6.3
2018,1,5,13:00,UTC,7,994,94,0,0,,3.2,27210,131,9.9,6.8
2018,1,5,14:00,UTC,8,993.9,93,0,0,,3.5,21680,,,
2018,1,5,15:00,UTC,8,993.8,92,0,0,,3.5,22280,116,8.5,5.8
2018,1,5,16:00,UTC,8,993.2,91,0,0,,3.4,28440,109,7.2,4.7
2018,1,5,17:00,UTC,8,992.9,92,0,0,,3.5,19120,117,8.4,5.8
2018,1,5,18:00,UTC,8,992.4,95,0.9,0,,3.7,10090,120,8.4,5.7
2018,1,5,19:00,UTC,8,992.2,95,1.3,0,,3.3,6950,106,9.4,6.3
