Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2017,1,1,00:00,UTC,0,998.1,87,0,0,3.3,1.4,39560,277,8.3,6.2
2017,1,1,01:00,UTC,0,998.3,89,0,0,2.3,0.6,48280,265,5,3.5
2017,1,1,02:00,UTC,0,998.1,94,0,0,0.7,-0.2,27940,256,4.3,3.4
2017,1,1,03:00,UTC,7,997.8,91,0,0,0.5,-0.8,38250,255,3.8,2.7
2017,1,1,04:00,UTC,6,997.7,96,0,0,-0.2,-0.8,24660,260,3.2,2.7
2017,1,1,05:00,UTC,2,997.6,92,0,0,0.1,-1,45070,283,3.6,2.8
2017,1,1,06:00,UTC,7,997.7,91,0,0,-0.2,-1.5,25640,267,3.6,2.8
2017,1,1,07:00,UTC,2,997.2,95,0,0,-1,-1.6,32140,238,3.7,3.4
2017,1,1,08:00,UTC,7,997.3,95,0,0,-1,-1.7,12820,255,3,2.5
2017,1,1,09:00,UTC,8,997.4,97,0,0,-0.8,-1.2,22420,239,3.4,2.8
2017,1,1,10:00,UTC,7,997.3,97,0,0,-0.3,-0.8,20700,287,3.9,3
2017,1,1,11:00,UTC,7,997.3,94,0,0,0,-0.9,17160,300,3.6,2.6
2017,1,1,12:00,UTC,0,997.3,95,0,0,-1.1,-1.8,31050,290,2.5,2.2
2017,1,1,13:00,UTC,4,997.3,96,0,0,-1.2,-1.9,19810,282,3.3,2.8
2017,1,1,14:00,UTC,7,997.7,97,0,0,-1.2,-1.5,16210,317,3.5,2.7
2017,1,1,15:00,UTC,6,997.6,96,0,0,-1.1,-1.7,12280,314,3.8,2.9
2017,1,1,16:00,UTC,7,998.1,96,0,0,-0.7,-1.3,23370,332,5.3,4.1
2017,1,1,17:00,UTC,8,998.5,93,0,0,-0.5,-1.4,32460,340,4.5,2.6
2017,1,1,18:00,UTC,8,999.1,92,0,0,-0.8,-1.9,50000,1,5.6,3.4
2017,1,1,19:00,UTC,8,999.8,84,0,0,-1.5,-3.8,50000,356,7.6,5.5
2017,1,1,20:00,UTC,7,1000.3,83,0,0,-1.9,-4.4,50000,11,5.7,3.9
2017,1,1,21:00,UTC,0,1000.7,87,0,0,-2.8,-4.6,50000,342,5.3,4.1
2017,1,1,22:00,UTC,0,1001.2,91,0,0,-3.8,-5,50000,345,5.2,3.7
2017,1,1,23:00,UTC,0,1001.5,92,0,0,-4.5,-5.6,50000,350,6,4.3
2017,1,2,00:00,UTC,7,1001.5,93,0,0,-4.7,-5.6,50000,343,5.2,3.9
2017,1,2,01:00,UTC,7,1001.8,93,0,0,-4.6,-5.6,50000,339,4,2.8
2017,1,2,02:00,UTC,8,1001.9,92,0,0,-4.2,-5.4,50000,356,5.2,2.7
2017,1,2,03:00,UTC,8,1001.9,91,0,0,-4.1,-5.4,50000,358,5.6,3.2
2017,1,2,04:00,UTC,8,1001.9,90,0,0,-4,-5.4,50000,360,6.5,4.7
2017,1,2,05:00,UTC,8,1001.8,92,0,0,-4.4,-5.6,47220,322,4.6,3.2
2017,1,2,06:00,UTC,7,1001.7,92,0,0,-4.3,-5.4,23750,321,3.7,2.4
2017,1,2,07:00,UTC,8,1001.6,92,0,0,-4.1,-5.2,48840,308,4.4,3.4
2017,1,2,08:00,UTC,8,1001.7,91,0,0,-3.9,-5.1,30030,346,2.7,2.1
2017,1,2,09:00,UTC,8,1001.5,91,0,0,-3.6,-5,42850,332,2.7,1.8
2017,1,2,10:00,UTC,8,1001.6,90,0,0,-3.4,-4.9,50000,357,3.1,2.4
2017,1,2,11:00,UTC,8,1001.5,90,0,0,-3.3,-4.7,17510,359,2.6,2
2017,1,2,12:00,UTC,8,1001.6,92,0,0,-3.3,-4.4,7700,355,2.5,1.9
2017,1,2,13:00,UTC,8,1001.6,94,0.1,0,-3.3,-4.2,2710,26,2.1,1.4
2017,1,2,14:00,UTC,7,1001.6,95,0.4,2,-3.4,-4,1860,3,2.1,1.6
2017,1,2,15:00,UTC,8,1001.7,95,0.6,3,-3.6,-4.3,2380,44,5.2,3.5
2017,1,2,16:00,UTC,7,1001.9,96,0.5,3,-4.1,-4.7,2890,72,4.9,3.7
2017,1,2,17:00,UTC,8,1001.9,94,0,3,-4.5,-5.3,3110,65,5.9,4.7
2017,1,2,18:00,UTC,8,1002.4,94,0,4,-4.8,-5.6,4280,53,5,3.8
2017,1,2,19:00,UTC,8,1002.7,93,0,5,-5.5,-6.4,4680,53,5.9,4.5
2017,1,2,20:00,UTC,7,1002.9,94,0.3,5,-5.7,-6.5,2430,46,5.2,4
2017,1,2,21:00,UTC,7,1003.1,94,0.1,5,-5.9,-6.6,2680,49,5.4,3.7
2017,1,2,22:00,UTC,8,1003.1,94,0.4,5,-6,-6.8,4220,39,4.8,3.2
2017,1,2,23:00,UTC,7,1003.1,94,0.3,5,-6.1,-6.9,2310,45,5.6,3.5
2017,1,3,00:00,UTC,7,1003.2,94,0,6,-6.9,-7.7,16130,42,3.2,2.4
2017,1,3,01:00,UTC,7,1002.9,94,0,6,-7,-7.8,12900,17,3.9,2.7
2017,1,3,02:00,UTC,8,1002.7,94,0,5,-6.9,-7.7,3900,40,4.3,3.1
2017,1,3,03:00,UTC,8,1002.5,93,0,6,-6.8,-7.7,4020,33,4.2,3
2017,1,3,04:00,UTC,8,1002.4,94,0.5,6,-6.9,-7.7,2440,37,3.8,2.6
2017,1,3,05:00,UTC,8,1002.2,94,0.6,6,-6.9,-7.7,750,35,3.4,2.7
2017,1,3,06:00,UTC,8,1002.1,94,0.4,8,-6.9,-7.7,1830,36,3.7,2.5
2017,1,3,07:00,UTC,8,1002.1,94,0.2,8,-7,-7.8,5820,36,3.1,2.3
2017,1,3,08:00,UTC,8,1001.9,94,0,8,-7,-7.9,8230,34,3.1,2.3
2017,1,3,09:00,UTC,8,1001.5,93,0,8,-7,-7.9,16880,35,3,1.8
2017,1,3,10:00,UTC,8,1001,93,0,8,-6.7,-7.6,7710,34,2.6,2
2017,1,3,11:00,UTC,8,1000.9,93,0,8,-6.6,-7.5,3340,10,1.9,1.3
2017,1,3,12:00,UTC,8,1000.4,94,0.9,8,-6.7,-7.4,650,4,2.8,2.2
2017,1,3,13:00,UTC,8,999.8,94,0.4,11,-6.8,-7.6,1520,37,3.3,2.5
2017,1,3,14:00,UTC,5,999.4,94,0,11,-8.2,-9,9750,42,2.8,2
2017,1,3,15:00,UTC,8,999.2,95,0,11,-7.7,-8.3,26380,12,2.9,2.4
2017,1,3,16:00,UTC,7,998.5,94,0,11,-8.5,-9.3,12020,6,3.6,3.1
2017,1,3,17:00,UTC,7,998.2,95,0,11,-7.8,-8.6,33640,11,4,3.3
2017,1,3,18:00,UTC,0,997.5,94,0,10,-8.5,-9.3,15350,30,4.2,3.4
2017,1,3,19:00,UTC,6,996.8,96,0,10,-6.5,-7,2110,52,6,4.1
2017,1,3,20:00,UTC,8,996.4,96,0,11,-4.6,-5.1,13650,93,9.7,7
2017,1,3,21:00,UTC,8,996.7,96,1,11,-4.8,-5.2,730,114,10.3,6.5
2017,1,3,22:00,UTC,8,996.7,96,2.4,16,-5.3,-5.9,580,94,7.9,5.1
2017,1,3,23:00,UTC,8,996.3,95,0.1,19,-5.7,-6.4,2470,89,10.3,7.7
2017,1,4,00:00,UTC,8,996.3,93,0,18,-6.8,-7.7,2590,80,11.8,8.6
2017,1,4,01:00,UTC,7,996.6,91,0,19,-7.3,-8.5,4620,85,11.5,8.8
2017,1,4,02:00,UTC,8,997.4,91,0,18,-8.5,-9.7,5760,58,9.2,7.2
2017,1,4,03:00,UTC,8,997.7,90,0,18,-9.5,-10.8,3040,63,12.8,9.3
2017,1,4,04:00,UTC,8,998.6,89,0,18,-10.4,-11.9,2960,55,11.8,8.6
2017,1,4,05:00,UTC,8,998.7,88,0,17,-11.3,-12.9,2280,56,13.1,10
2017,1,4,06:00,UTC,7,999.9,86,0,19,-12.3,-14.2,11660,59,10.7,8.2
2017,1,4,07:00,UTC,8,1000.6,87,0,17,-11.5,-13.3,3490,56,13.3,9.5
2017,1,4,08:00,UTC,8,1001.7,86,0,18,-11.3,-13.1,3790,52,11.9,8.3
2017,1,4,09:00,UTC,8,1002.7,86,0,18,-12,-13.9,3110,45,11.9,8.6
2017,1,4,10:00,UTC,8,1003.8,84,0,18,-13.6,-15.7,4990,42,14,8.2
2017,1,4,11:00,UTC,5,1004.6,82,0,18,-14.9,-17.2,22750,39,11.4,7.5
2017,1,4,12:00,UTC,0,1005.9,80,0,18,-15.1,-17.9,40960,36,9.7,6.8
2017,1,4,13:00,UTC,0,1006.6,79,0,18,-15.8,-18.7,16090,32,11.2,7.5
2017,1,4,14:00,UTC,0,1008.3,76,0,17,-17.1,-20.4,26490,32,11.4,7.7
2017,1,4,15:00,UTC,0,1009.7,75,0,17,-18,-21.4,26780,32,11.8,8.1
2017,1,4,16:00,UTC,0,1010.7,73,0,17,-18.6,-22.2,50000,29,10.1,7
2017,1,4,17:00,UTC,0,1011.7,71,0,17,-18.9,-22.9,27000,25,10.6,7.6
2017,1,4,18:00,UTC,0,1012.6,74,0,17,-18.8,-22.3,48030,28,10.7,7.3
2017,1,4,19:00,UTC,0,1013.4,77,0,17,-18.6,-21.7,50000,31,11.8,7.3
2017,1,4,20:00,UTC,0,1014.6,79,0,16,-18.7,-21.4,35140,17,11.8,7.8
2017,1,4,21:00,UTC,0,1015.6,80,0,16,-19,-21.6,50000,15,8.8,6.7
2017,1,4,22:00,UTC,0,1016.4,80,0,16,-18.9,-21.5,50000,13,9.9,7.2
2017,1,4,23:00,UTC,0,1017.2,78,0,16,-18.6,-21.5,50000,17,10.3,6.8
2017,1,5,00:00,UTC,0,1018,79,0,16,-18.8,-21.6,50000,13,8.4,6.3
2017,1,5,01:00,UTC,0,1018.8,81,0,16,-19.1,-21.6,50000,7,9.3,6.9
2017,1,5,02:00,UTC,0,1019.8,80,0,15,-18.4,-21,50000,8,10.7,7.9
2017,1,5,03:00,UTC,0,1020.8,81,0,15,-18.5,-21,50000,5,10.7,8.2
2017,1,5,04:00,UTC,0,1021.6,80,0,15,-18.4,-21,50000,9,10.5,7.5
2017,1,5,05:00,UTC,0,1022.4,80,0,15,-18.6,-21.2,47820,8,10.1,7.7
2017,1,5,06:00,UTC,0,1023.6,80,0,15,-19.1,-21.7,50000,2,8.2,6.3
2017,1,5,07:00,UTC,0,1024.4,80,0,15,-19.1,-21.7,50000,7,7.5,5
2017,1,5,08:00,UTC,0,1025.4,81,0,15,-18.9,-21.4,49370,7,8.4,6.1
2017,1,5,09:00,UTC,0,1026.3,79,0,14,-18.1,-20.8,50000,8,8.4,6.3
2017,1,5,10:00,UTC,0,1027.1,78,0,14,-17.5,-20.3,49040,360,8.2,6.3
